time,prey,predators
1.0,15,0
2.0,25,0
3.0,30,0
4.0,34,0
5.0,37,1
6.0,39,1
7.0,34,2
8.0,34,2
9.0,34,2
10.0,32,2
11.0,32,2
12.0,35,2
13.0,39,2
14.0,40,2
15.0,38,2
16.0,41,2
17.0,41,2
18.0,42,1
19.0,42,1
20.0,41,2
21.0,40,3
22.0,40,3
23.0,32,3
24.0,40,3
25.0,39,3
26.0,36,3
27.0,40,3
28.0,40,3
29.0,40,3
30.0,40,1
31.0,39,1
32.0,42,1
33.0,43,0
34.0,43,0
35.0,43,0
36.0,41,2
37.0,41,2
38.0,40,3
39.0,40,3
40.0,37,3
41.0,35,3
42.0,37,4
43.0,39,4
44.0,39,4
45.0,39,4
46.0,37,5
47.0,36,7
48.0,31,6
49.0,12,4
50.0,3,4
51.0,2,1
52.0,0,1
53,0,0,0
